date,feature_index,NO2,NO2_Clean_Numeric,NO2_Final_Imputed
2025-10-12T00:00:00.000Z,0,[1.8128694136976264e-05],1.8128694136976264e-05,1.8128694136976264e-05
2025-10-13T00:00:00.000Z,0,[2.579307147243526e-05],2.579307147243526e-05,2.579307147243526e-05
2025-10-14T00:00:00.000Z,0,[4.741535667562857e-05],4.741535667562857e-05,4.741535667562857e-05
2025-10-15T00:00:00.000Z,0,[3.126192314084619e-05],3.126192314084619e-05,3.126192314084619e-05
2025-10-16T00:00:00.000Z,0,[4.41788652096875e-05],4.41788652096875e-05,4.41788652096875e-05
2025-10-17T00:00:00.000Z,0,[2.7083226086688228e-05],2.7083226086688228e-05,2.7083226086688228e-05
2025-10-18T00:00:00.000Z,0,[2.45070787059376e-05],2.45070787059376e-05,2.45070787059376e-05
2025-10-19T00:00:00.000Z,0,[None],,3.741004790451067e-05
2025-10-20T00:00:00.000Z,0,[None],,5.031301710308374e-05
2025-10-21T00:00:00.000Z,0,[6.321598630165681e-05],6.321598630165681e-05,6.321598630165681e-05
2025-10-22T00:00:00.000Z,0,[None],,5.790020077256486e-05
2025-10-23T00:00:00.000Z,0,[5.25844152434729e-05],5.25844152434729e-05,5.25844152434729e-05
2025-10-24T00:00:00.000Z,0,[None],,5.086847522761673e-05
2025-10-25T00:00:00.000Z,0,[4.915253521176055e-05],4.915253521176055e-05,4.915253521176055e-05
2025-10-26T00:00:00.000Z,0,[None],,4.868705839137821e-05
2025-10-27T00:00:00.000Z,0,[None],,4.822158157099586e-05
2025-10-28T00:00:00.000Z,0,[None],,4.775610475061352e-05
2025-10-29T00:00:00.000Z,0,[None],,4.729062793023117e-05
2025-10-30T00:00:00.000Z,0,[None],,4.682515110984883e-05
2025-10-31T00:00:00.000Z,0,[None],,4.635967428946649e-05
2025-11-01T00:00:00.000Z,0,[None],,4.589419746908414e-05
2025-11-02T00:00:00.000Z,0,[None],,4.54287206487018e-05
2025-11-03T00:00:00.000Z,0,[None],,4.496324382831945e-05
2025-11-04T00:00:00.000Z,0,[None],,4.449776700793711e-05
2025-11-05T00:00:00.000Z,0,[None],,4.403229018755476e-05
2025-11-06T00:00:00.000Z,0,[9.674859029473736e-05],,4.356681336717242e-05
2025-11-07T00:00:00.000Z,0,[None],,4.3101336546790076e-05
2025-11-08T00:00:00.000Z,0,[None],,4.263585972640773e-05
2025-11-09T00:00:00.000Z,0,[None],,4.2170382906025386e-05
2025-11-10T00:00:00.000Z,0,[None],,4.170490608564304e-05
2025-11-11T00:00:00.000Z,0,[None],,4.1239429265260696e-05
2025-11-12T00:00:00.000Z,0,[None],,4.077395244487835e-05
2025-11-13T00:00:00.000Z,0,[None],,4.0308475624496006e-05
2025-11-14T00:00:00.000Z,0,[None],,3.9842998804113665e-05
2025-11-15T00:00:00.000Z,0,[None],,3.9377521983731317e-05
2025-11-16T00:00:00.000Z,0,[None],,3.8912045163348975e-05
2025-11-17T00:00:00.000Z,0,[None],,3.844656834296663e-05
2025-11-18T00:00:00.000Z,0,[None],,3.7981091522584285e-05
2025-11-19T00:00:00.000Z,0,[None],,3.7515614702201943e-05
2025-11-20T00:00:00.000Z,0,[None],,3.7050137881819595e-05
2025-11-21T00:00:00.000Z,0,[None],,3.6584661061437253e-05
2025-11-22T00:00:00.000Z,0,[None],,3.6119184241054905e-05
2025-11-23T00:00:00.000Z,0,[None],,3.5653707420672564e-05
2025-11-24T00:00:00.000Z,0,[None],,3.518823060029022e-05
2025-11-25T00:00:00.000Z,0,[None],,3.4722753779907874e-05
2025-11-26T00:00:00.000Z,0,[None],,3.425727695952553e-05
2025-11-27T00:00:00.000Z,0,[None],,3.379180013914319e-05
2025-11-28T00:00:00.000Z,0,[3.332632331876084e-05],3.332632331876084e-05,3.332632331876084e-05
2025-11-29T00:00:00.000Z,0,[None],,3.4496912504485076e-05
2025-11-30T00:00:00.000Z,0,[None],,3.56675016902093e-05
2025-12-01T00:00:00.000Z,0,[None],,3.683809087593354e-05
2025-12-02T00:00:00.000Z,0,[None],,3.8008680061657764e-05
2025-12-03T00:00:00.000Z,0,[0.00023298157611861825],,3.9179269247382e-05
2025-12-04T00:00:00.000Z,0,[None],,4.034985843310623e-05
2025-12-05T00:00:00.000Z,0,[0.000120475931908004],,4.152044761883046e-05
2025-12-06T00:00:00.000Z,0,[None],,4.269103680455469e-05
2025-12-07T00:00:00.000Z,0,[None],,4.386162599027892e-05
2025-12-08T00:00:00.000Z,0,[None],,4.503221517600315e-05
2025-12-09T00:00:00.000Z,0,[None],,4.620280436172739e-05
2025-12-10T00:00:00.000Z,0,[None],,4.7373393547451614e-05
2025-12-11T00:00:00.000Z,0,[None],,4.854398273317585e-05
2025-12-12T00:00:00.000Z,0,[None],,4.9714571918900075e-05
2025-12-13T00:00:00.000Z,0,[None],,5.088516110462431e-05
2025-12-14T00:00:00.000Z,0,[None],,5.205575029034854e-05
2025-12-15T00:00:00.000Z,0,[None],,5.322633947607277e-05
2025-12-16T00:00:00.000Z,0,[None],,5.4396928661797e-05
2025-12-17T00:00:00.000Z,0,[5.556751784752123e-05],5.556751784752123e-05,5.556751784752123e-05
2025-12-18T00:00:00.000Z,0,[None],,5.487331918629934e-05
2025-12-19T00:00:00.000Z,0,[None],,5.417912052507745e-05
2025-12-20T00:00:00.000Z,0,[None],,5.348492186385556e-05
2025-12-21T00:00:00.000Z,0,[None],,5.279072320263367e-05
2025-12-22T00:00:00.000Z,0,[None],,5.209652454141178e-05
2025-12-23T00:00:00.000Z,0,[None],,5.140232588018989e-05
2025-12-24T00:00:00.000Z,0,[None],,5.0708127218968e-05
2025-12-25T00:00:00.000Z,0,[None],,5.001392855774611e-05
2025-12-26T00:00:00.000Z,0,[None],,4.931972989652422e-05
2025-12-27T00:00:00.000Z,0,[None],,4.862553123530233e-05
2025-12-28T00:00:00.000Z,0,[None],,4.793133257408044e-05
2025-12-29T00:00:00.000Z,0,[None],,4.723713391285855e-05
2025-12-30T00:00:00.000Z,0,[None],,4.6542935251636663e-05
2025-12-31T00:00:00.000Z,0,[None],,4.5848736590414774e-05
2026-01-01T00:00:00.000Z,0,[None],,4.5154537929192884e-05
2026-01-02T00:00:00.000Z,0,[4.4460339267970994e-05],4.4460339267970994e-05,4.4460339267970994e-05
2026-01-03T00:00:00.000Z,0,[None],,4.41493748974822e-05
2026-01-04T00:00:00.000Z,0,[None],,4.383841052699341e-05
2026-01-05T00:00:00.000Z,0,[None],,4.3527446156504616e-05
2026-01-06T00:00:00.000Z,0,[None],,4.321648178601583e-05
2026-01-07T00:00:00.000Z,0,[None],,4.290551741552703e-05
2026-01-08T00:00:00.000Z,0,[None],,4.2594553045038245e-05
2026-01-09T00:00:00.000Z,0,[None],,4.228358867454945e-05
2026-01-10T00:00:00.000Z,0,[None],,4.197262430406066e-05
2026-01-11T00:00:00.000Z,0,[None],,4.1661659933571866e-05
2026-01-12T00:00:00.000Z,0,[None],,4.135069556308308e-05
2026-01-13T00:00:00.000Z,0,[None],,4.103973119259428e-05
2026-01-14T00:00:00.000Z,0,[None],,4.0728766822105495e-05
2026-01-15T00:00:00.000Z,0,[None],,4.04178024516167e-05
2026-01-16T00:00:00.000Z,0,[None],,4.0106838081127905e-05
2026-01-17T00:00:00.000Z,0,[None],,3.979587371063912e-05
2026-01-18T00:00:00.000Z,0,[None],,3.948490934015033e-05
2026-01-19T00:00:00.000Z,0,[3.9173944969661534e-05],3.9173944969661534e-05,3.9173944969661534e-05
2026-01-20T00:00:00.000Z,0,[None],,3.500126476865262e-05
2026-01-21T00:00:00.000Z,0,[None],,3.0828584567643705e-05
2026-01-22T00:00:00.000Z,0,[None],,2.6655904366634783e-05
2026-01-23T00:00:00.000Z,0,[None],,2.248322416562587e-05
2026-01-24T00:00:00.000Z,0,[1.8310543964616954e-05],1.8310543964616954e-05,1.8310543964616954e-05
2026-01-25T00:00:00.000Z,0,[None],,2.5562628434272482e-05
2026-01-26T00:00:00.000Z,0,[None],,3.281471290392801e-05
2026-01-27T00:00:00.000Z,0,[None],,4.006679737358354e-05
2026-01-28T00:00:00.000Z,0,[None],,4.7318881843239066e-05
2026-01-29T00:00:00.000Z,0,[5.45709663128946e-05],5.45709663128946e-05,5.45709663128946e-05
2026-01-30T00:00:00.000Z,0,[None],,5.0604330681380816e-05
2026-01-31T00:00:00.000Z,0,[4.663769504986704e-05],4.663769504986704e-05,4.663769504986704e-05
2026-02-01T00:00:00.000Z,0,[None],,5.9871275880141184e-05
2026-02-02T00:00:00.000Z,0,[7.310485671041533e-05],7.310485671041533e-05,7.310485671041533e-05
2026-02-03T00:00:00.000Z,0,[3.112992271780968e-05],3.112992271780968e-05,3.112992271780968e-05
2026-02-04T00:00:00.000Z,0,[4.388988236314617e-05],4.388988236314617e-05,4.388988236314617e-05
2026-02-05T00:00:00.000Z,0,[None],,4.395033623871353e-05
2026-02-06T00:00:00.000Z,0,[None],,4.401079011428089e-05
2026-02-07T00:00:00.000Z,0,[None],,4.407124398984825e-05
2026-02-08T00:00:00.000Z,0,[None],,4.413169786541561e-05
2026-02-09T00:00:00.000Z,0,[None],,4.4192151740982965e-05
2026-02-10T00:00:00.000Z,0,[None],,4.4252605616550326e-05
2026-02-11T00:00:00.000Z,0,[None],,4.431305949211769e-05
2026-02-12T00:00:00.000Z,0,[None],,4.437351336768504e-05
2026-02-13T00:00:00.000Z,0,[None],,4.4433967243252404e-05
2026-02-14T00:00:00.000Z,0,[None],,4.4494421118819765e-05
2026-02-15T00:00:00.000Z,0,[None],,4.455487499438712e-05
2026-02-16T00:00:00.000Z,0,[None],,4.461532886995448e-05
2026-02-17T00:00:00.000Z,0,[None],,4.4675782745521836e-05
2026-02-18T00:00:00.000Z,0,[None],,4.47362366210892e-05
2026-02-19T00:00:00.000Z,0,[None],,4.479669049665656e-05
2026-02-20T00:00:00.000Z,0,[None],,4.4857144372223914e-05
2026-02-21T00:00:00.000Z,0,[None],,4.4917598247791275e-05
2026-02-22T00:00:00.000Z,0,[None],,4.497805212335864e-05
2026-02-23T00:00:00.000Z,0,[None],,4.503850599892599e-05
2026-02-24T00:00:00.000Z,0,[None],,4.509895987449335e-05
2026-02-25T00:00:00.000Z,0,[None],,4.5159413750060715e-05
2026-02-26T00:00:00.000Z,0,[None],,4.521986762562807e-05
2026-02-27T00:00:00.000Z,0,[4.528032150119543e-05],4.528032150119543e-05,4.528032150119543e-05
2026-02-28T00:00:00.000Z,0,[None],,4.7823390923440455e-05
2026-03-01T00:00:00.000Z,0,[None],,5.036646034568548e-05
2026-03-02T00:00:00.000Z,0,[None],,5.290952976793051e-05
2026-03-03T00:00:00.000Z,0,[None],,5.5452599190175535e-05
2026-03-04T00:00:00.000Z,0,[5.799566861242056e-05],5.799566861242056e-05,5.799566861242056e-05
2026-03-05T00:00:00.000Z,0,[None],,4.799821044798591e-05
2026-03-06T00:00:00.000Z,0,[None],,3.8000752283551265e-05
2026-03-07T00:00:00.000Z,0,[None],,2.8003294119116617e-05
2026-03-08T00:00:00.000Z,0,[1.800583595468197e-05],1.800583595468197e-05,1.800583595468197e-05
2026-03-09T00:00:00.000Z,0,[None],,2.3243585322537303e-05
2026-03-10T00:00:00.000Z,0,[None],,2.8481334690392636e-05
2026-03-11T00:00:00.000Z,0,[None],,3.371908405824797e-05
2026-03-12T00:00:00.000Z,0,[None],,3.89568334261033e-05
2026-03-13T00:00:00.000Z,0,[None],,4.419458279395863e-05
2026-03-14T00:00:00.000Z,0,[4.943233216181397e-05],4.943233216181397e-05,4.943233216181397e-05
2026-03-15T00:00:00.000Z,0,[None],,4.9590875520758944e-05
2026-03-16T00:00:00.000Z,0,[None],,4.974941887970393e-05
2026-03-17T00:00:00.000Z,0,[None],,4.9907962238648904e-05
2026-03-18T00:00:00.000Z,0,[None],,5.006650559759388e-05
2026-03-19T00:00:00.000Z,0,[None],,5.0225048956538856e-05
2026-03-20T00:00:00.000Z,0,[None],,5.038359231548384e-05
2026-03-21T00:00:00.000Z,0,[None],,5.0542135674428816e-05
2026-03-22T00:00:00.000Z,0,[None],,5.070067903337379e-05
2026-03-23T00:00:00.000Z,0,[None],,5.085922239231877e-05
2026-03-24T00:00:00.000Z,0,[None],,5.101776575126375e-05
2026-03-25T00:00:00.000Z,0,[None],,5.117630911020873e-05
2026-03-26T00:00:00.000Z,0,[None],,5.1334852469153705e-05
2026-03-27T00:00:00.000Z,0,[None],,5.149339582809868e-05
2026-03-28T00:00:00.000Z,0,[None],,5.1651939187043665e-05
2026-03-29T00:00:00.000Z,0,[5.181048254598864e-05],5.181048254598864e-05,5.181048254598864e-05
2026-03-30T00:00:00.000Z,0,[None],,4.09333770221565e-05
2026-03-31T00:00:00.000Z,0,[None],,3.0056271498324353e-05
2026-04-01T00:00:00.000Z,0,[1.9179165974492207e-05],1.9179165974492207e-05,1.9179165974492207e-05
2026-04-02T00:00:00.000Z,0,[5.673317355103791e-05],5.673317355103791e-05,5.673317355103791e-05
2026-04-03T00:00:00.000Z,0,[2.6634759706212208e-05],2.6634759706212208e-05,2.6634759706212208e-05
2026-04-04T00:00:00.000Z,0,[None],,2.890851283154916e-05
2026-04-05T00:00:00.000Z,0,[3.118226595688611e-05],3.118226595688611e-05,3.118226595688611e-05
2026-04-06T00:00:00.000Z,0,[None],,3.027269927510393e-05
2026-04-07T00:00:00.000Z,0,[None],,2.936313259332175e-05
2026-04-08T00:00:00.000Z,0,[None],,2.8453565911539567e-05
2026-04-09T00:00:00.000Z,0,[None],,2.7543999229757385e-05
2026-04-10T00:00:00.000Z,0,[None],,2.6634432547975203e-05
2026-04-11T00:00:00.000Z,0,[None],,2.572486586619302e-05
2026-04-12T00:00:00.000Z,0,[2.4815299184410836e-05],2.481529918441084e-05,2.481529918441084e-05
2026-04-13T00:00:00.000Z,0,[2.376270276727155e-05],2.376270276727155e-05,2.376270276727155e-05
2026-04-14T00:00:00.000Z,0,[3.204416498192586e-05],3.204416498192586e-05,3.204416498192586e-05
2026-04-15T00:00:00.000Z,0,[3.143216599710286e-05],3.143216599710286e-05,3.143216599710286e-05
2026-04-16T00:00:00.000Z,0,[4.102444290765561e-05],4.102444290765561e-05,4.102444290765561e-05
2026-04-17T00:00:00.000Z,0,[3.1929390388540924e-05],3.1929390388540924e-05,3.1929390388540924e-05
2026-04-18T00:00:00.000Z,0,[5.145687100593932e-05],5.145687100593932e-05,5.145687100593932e-05
2026-04-19T00:00:00.000Z,0,[None],,5.155291910341475e-05
2026-04-20T00:00:00.000Z,0,[5.164896720089018e-05],5.164896720089018e-05,5.164896720089018e-05
2026-04-21T00:00:00.000Z,0,[None],,4.433753365447046e-05
2026-04-22T00:00:00.000Z,0,[None],,3.7026100108050736e-05
2026-04-23T00:00:00.000Z,0,[None],,2.971466656163102e-05
2026-04-24T00:00:00.000Z,0,[None],,2.24032330152113e-05
2026-04-25T00:00:00.000Z,0,[1.5091799468791578e-05],1.5091799468791578e-05,1.5091799468791578e-05
2026-04-26T00:00:00.000Z,0,[4.116538184462115e-05],4.116538184462115e-05,4.116538184462115e-05
2026-04-27T00:00:00.000Z,0,[None],,3.688401496522905e-05
2026-04-28T00:00:00.000Z,0,[None],,3.260264808583694e-05
2026-04-29T00:00:00.000Z,0,[None],,2.8321281206444837e-05
2026-04-30T00:00:00.000Z,0,[None],,2.403991432705273e-05
2026-05-01T00:00:00.000Z,0,[None],,1.9758547447660625e-05
2026-05-02T00:00:00.000Z,0,[1.5477180568268523e-05],1.5477180568268523e-05,1.5477180568268523e-05
2026-05-03T00:00:00.000Z,0,[3.279707379988395e-05],3.279707379988395e-05,3.279707379988395e-05
2026-05-04T00:00:00.000Z,0,[4.30854270234704e-05],4.30854270234704e-05,4.30854270234704e-05
2026-05-05T00:00:00.000Z,0,[3.932229446945712e-05],3.932229446945712e-05,3.932229446945712e-05
2026-05-06T00:00:00.000Z,0,[3.7518941098824143e-05],3.7518941098824143e-05,3.7518941098824143e-05
2026-05-07T00:00:00.000Z,0,[4.3377771362429485e-05],4.3377771362429485e-05,4.3377771362429485e-05
2026-05-08T00:00:00.000Z,0,[1.4585280041501392e-05],1.4585280041501392e-05,1.4585280041501392e-05
2026-05-09T00:00:00.000Z,0,[None],,2.2469120722234948e-05
2026-05-10T00:00:00.000Z,0,[3.0352961402968504e-05],3.0352961402968504e-05,3.0352961402968504e-05
2026-05-11T00:00:00.000Z,0,[2.722256795095745e-05],2.722256795095745e-05,2.722256795095745e-05
2026-05-12T00:00:00.000Z,0,[2.8966138415853493e-05],2.8966138415853493e-05,2.8966138415853493e-05
2026-05-13T00:00:00.000Z,0,[3.382597424206324e-05],3.382597424206324e-05,3.382597424206324e-05
2026-05-14T00:00:00.000Z,0,[3.152041244902648e-05],3.152041244902648e-05,3.152041244902648e-05
2026-05-15T00:00:00.000Z,0,[4.861346678808332e-05],4.861346678808332e-05,4.861346678808332e-05
2026-05-16T00:00:00.000Z,0,[None],,4.803887713933364e-05
2026-05-17T00:00:00.000Z,0,[None],,4.746428749058396e-05
2026-05-18T00:00:00.000Z,0,[None],,4.688969784183428e-05
2026-05-19T00:00:00.000Z,0,[None],,4.63151081930846e-05
2026-05-20T00:00:00.000Z,0,[None],,4.574051854433492e-05
2026-05-21T00:00:00.000Z,0,[4.516592889558524e-05],4.516592889558524e-05,4.516592889558524e-05
2026-05-22T00:00:00.000Z,0,[6.815815140726045e-05],6.815815140726045e-05,6.815815140726045e-05
2026-05-23T00:00:00.000Z,0,[6.388659676304087e-05],6.388659676304087e-05,6.388659676304087e-05
2026-05-24T00:00:00.000Z,0,[4.964220352121629e-05],4.964220352121629e-05,4.964220352121629e-05
2026-05-25T00:00:00.000Z,0,[None],,6.04748693149304e-05
2026-05-26T00:00:00.000Z,0,[7.130753510864452e-05],7.130753510864452e-05,7.130753510864452e-05
2026-05-27T00:00:00.000Z,0,[None],,6.437154661398381e-05
2026-05-28T00:00:00.000Z,0,[None],,5.7435558119323105e-05
2026-05-29T00:00:00.000Z,0,[None],,5.04995696246624e-05
2026-05-30T00:00:00.000Z,0,[None],,4.3563581130001694e-05
2026-05-31T00:00:00.000Z,0,[3.662759263534099e-05],3.662759263534099e-05,3.662759263534099e-05
2026-06-01T00:00:00.000Z,0,[4.908439586870372e-05],4.908439586870372e-05,4.908439586870372e-05
2026-06-02T00:00:00.000Z,0,[4.344267654232681e-05],4.344267654232681e-05,4.344267654232681e-05
2026-06-03T00:00:00.000Z,0,[4.996923598810099e-05],4.996923598810099e-05,4.996923598810099e-05
2026-06-04T00:00:00.000Z,0,[5.907367085455917e-05],5.907367085455917e-05,5.907367085455917e-05
2026-06-05T00:00:00.000Z,0,[2.550844510551542e-05],2.550844510551542e-05,2.550844510551542e-05
2026-06-06T00:00:00.000Z,0,[2.410198976576794e-05],2.410198976576794e-05,2.410198976576794e-05
2026-06-07T00:00:00.000Z,0,[4.933719537802972e-05],4.933719537802972e-05,4.933719537802972e-05
2026-06-08T00:00:00.000Z,0,[5.074045475339517e-05],5.074045475339517e-05,5.074045475339517e-05
2026-06-09T00:00:00.000Z,0,[3.9288850530283526e-05],3.9288850530283526e-05,3.9288850530283526e-05
2026-06-10T00:00:00.000Z,0,[4.936241020914167e-05],4.936241020914167e-05,4.936241020914167e-05
2026-06-11T00:00:00.000Z,0,[4.396419899421744e-05],4.396419899421744e-05,4.396419899421744e-05
2026-06-12T00:00:00.000Z,0,[None],,4.8323601731681265e-05
2026-06-13T00:00:00.000Z,0,[5.268300446914509e-05],5.268300446914509e-05,5.268300446914509e-05
2026-06-14T00:00:00.000Z,0,[2.9990425900905396e-05],2.99904259009054e-05,2.99904259009054e-05
2026-06-15T00:00:00.000Z,0,[5.610175139736384e-05],5.610175139736384e-05,5.610175139736384e-05
2026-06-16T00:00:00.000Z,0,[4.561715468298644e-05],4.561715468298644e-05,4.561715468298644e-05
2026-06-17T00:00:00.000Z,0,[4.380872633191757e-05],4.380872633191757e-05,4.380872633191757e-05
2026-06-18T00:00:00.000Z,0,[4.917981277685613e-05],4.917981277685613e-05,4.917981277685613e-05
2026-06-19T00:00:00.000Z,0,[5.591240551439114e-05],5.591240551439114e-05,5.591240551439114e-05
2026-06-20T00:00:00.000Z,0,[3.171380012645386e-05],3.171380012645386e-05,3.171380012645386e-05
2026-06-21T00:00:00.000Z,0,[1.6809370208648033e-05],1.6809370208648033e-05,1.6809370208648033e-05
2026-06-22T00:00:00.000Z,0,[1.6801295714685693e-05],1.6801295714685693e-05,1.6801295714685693e-05
2026-06-24T00:00:00.000Z,0,[4.270824865670875e-05],4.270824865670875e-05,4.270824865670875e-05
2026-06-25T00:00:00.000Z,0,[3.412044679862447e-05],3.412044679862447e-05,3.412044679862447e-05
2026-06-26T00:00:00.000Z,0,[2.0306921214796603e-05],2.0306921214796603e-05,2.0306921214796603e-05
2026-06-27T00:00:00.000Z,0,[3.514917261782102e-05],3.514917261782102e-05,3.514917261782102e-05
2026-06-28T00:00:00.000Z,0,[4.627604357665405e-05],4.627604357665405e-05,4.627604357665405e-05
2026-06-29T00:00:00.000Z,0,[5.990375211695209e-05],5.990375211695209e-05,5.990375211695209e-05
2026-06-30T00:00:00.000Z,0,[3.7584060919471085e-05],3.7584060919471085e-05,3.7584060919471085e-05
2026-07-01T00:00:00.000Z,0,[5.130413774168119e-05],5.130413774168119e-05,5.130413774168119e-05
2026-07-02T00:00:00.000Z,0,[6.425674655474722e-05],6.425674655474722e-05,6.425674655474722e-05
2026-07-03T00:00:00.000Z,0,[3.690012090373784e-05],3.690012090373784e-05,3.690012090373784e-05
2026-07-04T00:00:00.000Z,0,[3.33094758389052e-05],3.33094758389052e-05,3.33094758389052e-05
2026-07-05T00:00:00.000Z,0,[2.0205176042509265e-05],2.0205176042509265e-05,2.0205176042509265e-05
2026-07-06T00:00:00.000Z,0,[3.084449053858407e-05],3.084449053858407e-05,3.084449053858407e-05
2026-07-07T00:00:00.000Z,0,[3.1120143830776215e-05],3.1120143830776215e-05,3.1120143830776215e-05
2026-07-08T00:00:00.000Z,0,[3.3252377761527896e-05],3.3252377761527896e-05,3.3252377761527896e-05
2026-07-09T00:00:00.000Z,0,[5.093121944810264e-05],5.093121944810264e-05,5.093121944810264e-05
2026-07-10T00:00:00.000Z,0,[3.331266634631902e-05],3.331266634631902e-05,3.331266634631902e-05
2026-07-11T00:00:00.000Z,0,[None],,3.0343051548697986e-05
2026-07-12T00:00:00.000Z,0,[2.737343675107695e-05],2.737343675107695e-05,2.737343675107695e-05
2026-07-13T00:00:00.000Z,0,[3.992536221630871e-05],3.992536221630871e-05,3.992536221630871e-05
2026-07-14T00:00:00.000Z,0,[4.096907287021168e-05],4.096907287021168e-05,4.096907287021168e-05
2026-07-15T00:00:00.000Z,0,[3.484748594928533e-05],3.484748594928533e-05,3.484748594928533e-05
2026-07-16T00:00:00.000Z,0,[3.408885095268488e-05],3.408885095268488e-05,3.408885095268488e-05
2026-07-17T00:00:00.000Z,0,[4.35740512330085e-05],4.35740512330085e-05,4.35740512330085e-05
2026-07-18T00:00:00.000Z,0,[3.0089986466919072e-05],3.0089986466919072e-05,3.0089986466919072e-05
2026-07-19T00:00:00.000Z,0,[3.108343298663385e-05],3.108343298663385e-05,3.108343298663385e-05
2026-07-20T00:00:00.000Z,0,[4.89239209855441e-05],4.89239209855441e-05,4.89239209855441e-05
2026-07-21T00:00:00.000Z,0,[3.944558193325065e-05],3.944558193325065e-05,3.944558193325065e-05
2026-07-22T00:00:00.000Z,0,[3.5995504731545225e-05],3.5995504731545225e-05,3.5995504731545225e-05
